id,slug,name,bank,reward_currency,ro_type,ro
amex-gold,amex-gold,American Express Gold Card,AmEx,membership-rewards,string,"""[{\""type\"":\""Travel redemption\"",\""partner\"":\""AmEx Travel partners\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Statement credit\"",\""partner\"":null,\""value_per_point_inr\"":0.4}]"""
9d70062d-597c-463b-a609-2ac41cec63c5,amex-gold-charge,American Express Gold Charge Card,American Express,points,array,"[""flights"", ""hotel stays"", ""vouchers""]"
amex-mrcc,amex-mrcc,Amex Membership Rewards Credit Card,AmEx,membership-rewards,string,"""[{\""type\"":\""Travel Bookings\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Shopping Vouchers\"",\""partner\"":null,\""value_per_point_inr\"":0.4}]"""
amex-platinum-travel,amex-platinum-travel,American Express Platinum Travel,AmEx,membership-rewards,string,"""[{\""type\"":\""Travel Redemption\"",\""partner\"":\""AmEx Travel Portal\"",\""value_per_point_inr\"":0.75},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
50454052-90a2-4dd2-8d1f-6b35dd280cb9,amex-smartearn,American Express SmartEarn Credit Card,American Express,points,array,"[""statement credit"", ""vouchers""]"
bbde32c3-72cf-4109-a883-5ab3de2c9250,apollo-sbi,Apollo Hospitals SBI Credit Card,SBI Card,points,array,"[""Apollo HealthCoins""]"
893cdc65-0857-4609-89b1-fc34c53ce666,au-altitude,AU Bank Altitude Credit Card,AU Small Finance Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
au-altura-plus,au-altura-plus,AU Altura Plus,AU,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
au-lit,au-lit,AU Bank LIT Credit Card,AU,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Gift vouchers\"",\""partner\"":\""Multiple merchants\"",\""value_per_point_inr\"":1}]"""
286b33b0-e89d-4786-b603-984de10cbb43,au-vetta,AU Bank Vetta Credit Card,AU Small Finance Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
au-zenith,au-zenith,AU Bank Zenith Credit Card,AU,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel redemption\"",\""partner\"":\""Air Miles partner airlines\"",\""value_per_point_inr\"":1}]"""
365dd47c-ad7a-4b2e-96a9-a94a9880cd37,au-zenith-plus,AU Bank Zenith+ Credit Card,AU Small Finance Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
axis-ace,axis-ace,Axis Bank ACE Credit Card,Axis,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
e7425857-6054-4b63-972e-b0648156fd32,axis-airtel,Axis Bank Airtel Credit Card,Axis Bank,points,array,"[""statement credit""]"
axis-atlas,axis-atlas,Axis Atlas,Axis,miles,string,"""[{\""type\"":\""Travel Bookings\"",\""partner\"":\""Axis Bank Portal\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":0.4}]"""
axis-flipkart,axis-flipkart,Flipkart Axis Bank Credit Card,Axis,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
axis-horizon,axis-horizon,Axis Bank Horizon Credit Card,Axis,edge,string,"""[{\""type\"":\""Travel bookings\"",\""partner\"":\""MakeMyTrip\"",\""value_per_point_inr\"":1},{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.75}]"""
axis-magnus-burgundy,axis-magnus-burgundy,Axis Magnus for Burgundy,Axis,edge,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel redemption\"",\""partner\"":\""Axis partnerships\"",\""value_per_point_inr\"":1}]"""
066e5d1b-090f-433f-986d-8d425ca2c738,axis-my-zone,Axis Bank MY Zone Credit Card,Axis Bank,points,array,"[""Edge Miles vouchers""]"
axis-myzone,axis-myzone,Axis Bank My Zone Credit Card,Axis,reward-points,string,"""[{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Flight Redemption\"",\""partner\"":\""Partner Airlines\"",\""value_per_point_inr\"":1}]"""
7a85aaa6-7df1-4413-b76e-1e555029b4e0,axis-reserve,Axis Bank Reserve Credit Card,Axis Bank,points,array,"[""flights"", ""hotel stays"", ""lounge""]"
axis-vistara-infinite,axis-vistara-infinite,Axis Bank Vistara Infinite,Axis,miles,string,"""[{\""type\"":\""Air miles\"",\""partner\"":\""Vistara\"",\""value_per_point_inr\"":1.5},{\""type\"":\""Cash back\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
2f440159-eea0-4c79-9e2e-5ac77798d55e,axis-vistara-signature,Axis Bank Vistara Signature Credit Card,Axis Bank,points,array,"[""Air India flights""]"
53fc98f8-8b94-47eb-89a3-0c49a60c213f,bigbasket-axis,BigBasket Axis Bank Credit Card,Axis Bank,points,array,"[""statement credit""]"
4d502d6b-7f7c-40ea-801d-3a911af1c17d,bob-eterna,Bank of Baroda ETERNA Credit Card,Bank of Baroda,points,array,"[""flights"", ""hotels"", ""cashback""]"
4d9e8f99-be81-4e12-8432-13414c3cca10,bob-select,Bank of Baroda SELECT Credit Card,Bank of Baroda,points,array,"[""flights"", ""hotels"", ""cashback""]"
6e12c5da-398f-4bbe-801d-9db743571f80,bookmyshow-axis,BookMyShow Axis Bank Credit Card,Axis Bank,points,array,"[""statement credit""]"
8bedc45c-69d7-4aab-955d-0a04224c946c,bpcl-sbi,BPCL SBI Credit Card,SBI Card,points,array,"[""statement credit""]"
6c0f0878-11ed-4c0d-82cc-98febf2166f3,bpcl-sbi-octane,BPCL SBI Credit Card Octane,SBI Card,points,array,"[""statement credit""]"
bd1d7729-06b8-483e-a4ba-f19ca752c4b0,canara-platinum,Canara Bank Platinum Credit Card,Canara Bank,points,array,"[""vouchers"", ""flights""]"
a31971c7-df5d-4d2d-b07c-b9df75b4851b,citi-cashback,Citi Cashback Credit Card,Axis Bank,points,array,"[""statement credit""]"
2d6377c8-b60b-4fab-bc05-046f93da6060,citi-premiermiles,Citi PremierMiles Credit Card,Axis Bank,points,array,"[""airline miles"", ""hotel stays""]"
a1d57745-8626-46a3-b483-eeea61c7c41e,cleartrip-icici,Cleartrip ICICI Bank Credit Card,ICICI Bank,points,array,"[""Cleartrip bookings""]"
49f4474c-3e15-40e4-ba76-370e59e3d36b,club-vistara-hdfc,Club Vistara HDFC Bank Credit Card,HDFC Bank,points,array,"[""Air India flights business class""]"
3c0759b1-22bb-487f-a2aa-76df731aafd2,club-vistara-sbi,Club Vistara SBI Credit Card,SBI Card,points,array,"[""Air India flights""]"
bda2f57d-8dcf-4b11-88ae-584d18709897,cred-rbl,CRED RBL Bank Credit Card,RBL Bank,points,array,"[""CRED store"", ""cashback""]"
ff462ba7-0fc4-4ee6-9f74-d6ee51900490,federal-scapia,Federal Bank Scapia Credit Card,Federal Bank,points,array,"[""flights via Scapia app""]"
9d31d3cc-1d0f-4023-a363-07f887516d5e,fi-federal,Fi Federal Credit Card,Federal Bank,points,array,"[""Fi Coins cashback""]"
ecfdf0b5-363c-4435-8c02-9c05485520e4,flipkart-axis,Flipkart Axis Bank Credit Card,Axis Bank,points,array,"[""statement credit""]"
b26ea686-ef4b-44de-bc6d-37f8125aa93a,hdfc-bizpower,HDFC Bank BizPower Credit Card,HDFC Bank,points,array,"[""statement credit""]"
hdfc-diners-black,hdfc-diners-black,HDFC Diners Club Black,HDFC,reward-points,string,"""[{\""type\"":\""Reward Points\"",\""partner\"":\""HDFC rewards portal\"",\""value_per_point_inr\"":0.4},{\""type\"":\""Travel redemption\"",\""partner\"":\""Partner airlines and hotels\"",\""value_per_point_inr\"":0.5}]"""
01c9bbc9-e9a2-4eb3-b623-8ca6b9bf42b9,hdfc-diners-black-metal,HDFC Bank Diners Club Black Metal Edition,HDFC Bank,points,array,"[""flights"", ""hotels"", ""miles transfer""]"
d4e06d36-616f-4693-bf2a-19b8f2fff8fe,hdfc-diners-privilege,HDFC Bank Diners Club Privilege Credit Card,HDFC Bank,points,array,"[""flights via Smartbuy"", ""hotel stays"", ""miles transfer""]"
hdfc-freedom,hdfc-freedom,HDFC Freedom Credit Card,HDFC,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Rewards statement credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
hdfc-infinia,hdfc-infinia,HDFC Infinia Metal Edition,HDFC,reward-points,string,"""[{\""type\"":\""Transfer to Partner\"",\""partner\"":\""Multiple airlines and hotels\"",\""value_per_point_inr\"":1},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
b01ee5dd-4abc-4165-8ccf-d6bdf5971d6c,hdfc-infinia-metal,HDFC Bank Infinia Credit Card Metal Edition,HDFC Bank,points,array,"[""flights"", ""hotels"", ""miles transfer""]"
hdfc-marriott-bonvoy,hdfc-marriott-bonvoy,Marriott Bonvoy HDFC,HDFC,points,string,"""[{\""type\"":\""Hotel stays\"",\""partner\"":\""Marriott Bonvoy\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Air tickets\"",\""partner\"":\""Marriott Bonvoy partners\"",\""value_per_point_inr\"":0.4}]"""
hdfc-millennia,hdfc-millennia,HDFC Millennia,HDFC,cashback,array,[]
hdfc-moneyback-plus,hdfc-moneyback-plus,HDFC MoneyBack+,HDFC,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
hdfc-regalia-gold,hdfc-regalia-gold,HDFC Regalia Gold,HDFC,reward-points,string,"""[{\""type\"":\""Reward Points\"",\""partner\"":\""HDFC Rewards Portal\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Airline Transfer\"",\""partner\"":\""Partner Airlines\"",\""value_per_point_inr\"":0.75},{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
hdfc-swiggy,hdfc-swiggy,Swiggy HDFC Bank Credit Card,HDFC,cashback,string,"""[{\""type\"":\""Swiggy cashback\"",\""partner\"":\""Swiggy\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Statement credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
a3525fe6-1612-4929-a9cf-91fd7ee8b10a,hsbc-cashback,HSBC Cashback Credit Card,HSBC,points,array,"[""statement credit""]"c4144e98-a7e6-44fc-b470-0131c6a8e073,hsbc-premier,HSBC Premier Mastercard Credit Card,HSBC,points,array,"[""flights"", ""hotels"", ""cashback""]"
f4f161e2-3b8d-4d15-8322-aba8ff8197b0,hsbc-visa-platinum,HSBC Visa Platinum Credit Card,HSBC,points,array,"[""vouchers"", ""flights""]"
icici-amazon-pay,icici-amazon-pay,Amazon Pay ICICI,ICICI,cashback,string,"""[{\""type\"":\""Amazon Pay Balance\"",\""partner\"":\""Amazon\"",\""value_per_point_inr\"":1},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
icici-coral,icici-coral,ICICI Bank Coral Credit Card,ICICI,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Travel redemption\"",\""partner\"":\""Travel partners\"",\""value_per_point_inr\"":1}]"""
icici-emeralde,icici-emeralde,ICICI Bank Emeralde Private Metal,ICICI,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel bookings\"",\""partner\"":\""MakeMyTrip\"",\""value_per_point_inr\"":0.75},{\""type\"":\""Airline miles transfer\"",\""partner\"":\""Multiple airlines\"",\""value_per_point_inr\"":1}]"""
ddf827fc-ccc2-4f45-9a46-a79269610aac,icici-emeralde-private-metal,ICICI Bank Emeralde Private Metal Credit Card,ICICI Bank,points,array,"[""flights"", ""hotels"", ""miles transfer""]"
098ec34a-e6d8-4cc6-9e63-b55a5397a71b,icici-hpcl-super-saver,ICICI Bank HPCL Super Saver Credit Card,ICICI Bank,points,array,"[""vouchers"", ""statement credit""]"
856b5c0a-0b51-4870-8ce6-e53733b623fd,icici-manchester-united,ICICI Bank Manchester United Credit Card,ICICI Bank,points,array,"[""vouchers"", ""flights""]"
4b2ddadc-a4e1-4d8d-9873-d6c1afdf6462,icici-platinum-chip,ICICI Bank Platinum Chip Credit Card,ICICI Bank,points,array,"[""vouchers"", ""flights""]"
icici-rubyx,icici-rubyx,ICICI Bank Rubyx Credit Card,ICICI,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel Bookings\"",\""partner\"":\""ICICI Travel Portal\"",\""value_per_point_inr\"":1}]"""
icici-sapphiro,icici-sapphiro,ICICI Bank Sapphiro Credit Card,ICICI,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel Rewards\"",\""partner\"":\""ICICI Travel Portal\"",\""value_per_point_inr\"":1},{\""type\"":\""Gift Vouchers\"",\""partner\"":\""Flipkart, Amazon\"",\""value_per_point_inr\"":0.5}]"""
idfc-first-classic,idfc-first-classic,IDFC FIRST Classic Credit Card,IDFC,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
idfc-first-select,idfc-first-select,IDFC FIRST Select Credit Card,IDFC,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Travel Redemption\"",\""partner\"":\""IDFC Bank partners\"",\""value_per_point_inr\"":1.2}]"""
3ba2db2d-108f-479a-b35e-e80d9592c478,idfc-first-swyp,IDFC FIRST SWYP Credit Card,IDFC FIRST Bank,points,array,"[""flights"", ""cashback"", ""vouchers""]"
idfc-first-wealth,idfc-first-wealth,IDFC FIRST Wealth,IDFC,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Travel Redemption\"",\""partner\"":\""IDFC Partner Airlines\"",\""value_per_point_inr\"":1.5}]"""
cc9c4faf-b8b5-419b-9579-3b7582b9d747,indian-oil-axis,Indian Oil Axis Bank Credit Card,Axis Bank,points,array,"[""fuel at IndianOil""]"
f149f09a-5dc3-452d-a239-7349bb3303c2,indigo-hdfc-6e-rewards,IndiGo HDFC Bank 6E Rewards Credit Card,HDFC Bank,points,array,"[""IndiGo discounts""]"
08ade2d2-842c-4015-bb1e-4a33591ef56a,indigo-hdfc-6e-rewards-xl,IndiGo HDFC Bank 6E Rewards XL Credit Card,HDFC Bank,points,array,"[""IndiGo discounts""]"
indusind-celesta,indusind-celesta,IndusInd Bank Celesta Credit Card,IndusInd,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel Miles\"",\""partner\"":\""IndusInd Travel Partners\"",\""value_per_point_inr\"":1}]"""
indusind-iconia,indusind-iconia,IndusInd Bank Iconia Amex,IndusInd,reward-points,string,"""[{\""type\"":\""Travel\"",\""partner\"":\""American Express Travel\"",\""value_per_point_inr\"":1.5},{\""type\"":\""Statement credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
4a41c35f-81af-4de2-9903-90adffabde01,indusind-legend,IndusInd Bank Legend Credit Card,IndusInd Bank,points,array,"[""flights"", ""hotels"", ""miles transfer""]"
5dee2354-def4-4bab-b477-c2bcf960336d,indusind-nexxt,IndusInd Bank Nexxt Credit Card,IndusInd Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
indusind-pinnacle,indusind-pinnacle,IndusInd Bank Pinnacle Credit Card,IndusInd,reward-points,string,"""[{\""type\"":\""Travel\"",\""partner\"":\""IndusInd partners\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Lifestyle\"",\""partner\"":\""IndusInd partners\"",\""value_per_point_inr\"":0.5}]"""
6b41f671-db39-494e-ba45-1fd7ed7ba14c,indusind-platinum-aura-edge,IndusInd Bank Platinum Aura Edge Credit Card,IndusInd Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
6f7f7f17-ab6f-45aa-ad50-b4ef44ed7a7b,irctc-sbi-platinum,IRCTC SBI Platinum Credit Card,SBI Card,points,array,"[""statement credit""]"
d6e87575-1703-4e58-beed-e382bd86b515,irctc-sbi-premier,IRCTC SBI Premier Credit Card,SBI Card,points,array,"[""statement credit"", ""flights""]"
8d7ff5ad-76fc-4ebd-bc9e-bcc2935dff4d,itc-hotels-hdfc,ITC Hotels HDFC Bank Credit Card,HDFC Bank,points,array,"[""ITC hotel stays"", ""dining""]"
db9909a5-8b89-4dda-80c1-6f177dfa62c7,kiwi,Kiwi Credit Card,SBM Bank,points,array,"[""statement credit""]"
kotak-811-dream,kotak-811-dream,Kotak 811 #DreamDifferent,Kotak,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
c3345ef8-5af1-491a-af18-24e045df60bf,kotak-811-dreamdifferent,Kotak 811 DreamDifferent Credit Card,Kotak Mahindra Bank,points,array,"[""statement credit""]"
kotak-league-platinum,kotak-league-platinum,Kotak League Platinum,Kotak,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
b0988693-5b4a-4313-b579-5aa1913ebe9c,kotak-pvr-gold,Kotak Mahindra PVR Gold Credit Card,Kotak Mahindra Bank,points,array,"[""PVR movie tickets""]"
48a3afbf-825d-47bc-81b8-4340ed4d6def,kotak-pvr-platinum,Kotak Mahindra PVR Platinum Credit Card,Kotak Mahindra Bank,points,array,"[""PVR movie tickets""]"
kotak-royale-signature,kotak-royale-signature,Kotak Royale Signature,Kotak,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Travel Bookings\"",\""partner\"":\""Kotak Travel Partners\"",\""value_per_point_inr\"":1}]"""
d78a74dc-7159-45d4-86c7-677545aa6be2,makemytrip-icici,MakeMyTrip ICICI Bank Credit Card,ICICI Bank,points,array,"[""MMT bookings""]"
c2dbbbe5-e3f1-4cb7-98f6-bc621ea085d1,marriott-bonvoy-hdfc,Marriott Bonvoy HDFC Bank Credit Card,HDFC Bank,points,array,"[""Marriott hotel stays"", ""airline transfers""]"
cc65dc26-e822-4592-b970-6ff903e93def,myntra-kotak,Myntra Kotak Credit Card,Kotak Mahindra Bank,points,array,"[""statement credit""]"
63292ac3-4d8d-4a2f-aeeb-5409a4474ff3,nykaa-kotak,Nykaa Kotak Credit Card,Kotak Mahindra Bank,points,array,"[""Nykaa orders""]"
e7079199-0738-4624-b69b-e3403dae95cd,ola-money-sbi,Ola Money SBI Credit Card,SBI Card,points,array,"[""Ola Money wallet""]"
b05cedcd-2a7e-405f-a482-6c6773782f94,onecard,OneCard Credit Card,FPL Technologies,points,array,"[""statement credit""]"
a8bac84b-c473-417e-9686-00bc129f45a3,paisabazaar-step-up,Paisabazaar Step UP Credit Card,SBM Bank,points,array,"[""statement credit""]"
0157fb27-3dd4-486a-bcf1-88ae4a36fb08,paytm-sbi,Paytm SBI Credit Card,SBI Card,points,array,"[""Paytm wallet""]"
461ee3d6-fb16-4162-a5e9-5708b5539b5b,phonepe-axis,PhonePe Axis Bank Credit Card,Axis Bank,points,array,"[""statement credit""]"
a59f9ff5-16c6-4adc-b7e2-04282baf345b,pnb-rupay-platinum,PNB RuPay Platinum Credit Card,Punjab National Bank,points,array,"[""vouchers""]"
